Overall,Potential,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling, GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating,Attacking Work Rate_High,Attacking Work Rate_Low,Attacking Work Rate_Medium,Defensive Work Rate_High,Defensive Work Rate_Low,Defensive Work Rate_Medium
89,,27.0,,75.0,,473.0,1.0,,,4.0,,,87.0,,83.0,,91.0,,72.0,87.0,69.0,82.0,85.0,69.0,,,,,,88.0,84.0,,,94.0,68.0,83.0,,,80.0,85.0,,85.0,,,,8.0,,7.0,15.0,15.0,80.0,,,,,81.0,,,89.0,,87.0,89.0,,,84.0,,24.0,1.0,,0.0,,,
89,90.0,,191.0,,,,1.0,3.0,1.0,,86.0,,85.0,,54.0,90.0,,,29.0,,,,19.0,18.0,,,,49.0,40.0,,,64.0,,,78.0,,,11.0,,,,68.0,,19.0,,,85.0,85.0,,89.0,42.0,38.0,,,,38.0,,45.0,49.0,,,42.0,,,,35.0,,0.0,,1.0,0.0,0.0,
89,89.0,,168.0,70.0,2154.0,,1.0,3.0,,,72.0,,74.0,,87.0,,,,,,,78.0,,,,81.0,,68.0,,93.0,92.0,,,,72.0,65.0,,91.0,72.0,77.0,,,90.0,,,15.0,,,7.0,,75.0,76.0,,,76.0,76.0,80.0,,84.0,,,89.0,87.0,,87.0,87.0,,0.0,,,,0.0,0.0
88,,,,82.0,1894.0,412.0,1.0,,,,63.0,,,68.0,88.0,88.0,,29.0,87.0,82.0,32.0,,,,,74.0,57.0,,60.0,89.0,56.0,,,,,26.0,,85.0,,51.0,45.0,,,89.0,85.0,,,13.0,,12.0,,59.0,60.0,60.0,60.0,59.0,,,73.0,67.0,,,,83.0,90.0,,21.0,,0.0,,1.0,0.0,0.0
88,,21.0,195.0,,,,0.0,,,4.0,,91.0,65.0,,,,47.0,94.0,79.0,,88.0,,77.0,62.0,,82.0,82.0,,,88.0,,94.0,74.0,,93.0,,85.0,,,74.0,,85.0,,53.0,29.0,,,13.0,,,90.0,,,84.0,,,,,,,,67.0,65.0,64.0,65.0,64.0,22.0,,0.0,0.0,,0.0,
88,92.0,,196.0,90.0,,,1.0,3.0,1.0,3.0,,83.0,,,,85.0,,,,,8.0,28.0,,14.0,,30.0,50.0,55.0,64.0,,,,,,72.0,,30.0,26.0,14.0,,,,20.0,14.0,,,83.0,,,89.0,,34.0,,,36.0,,41.0,38.0,40.0,38.0,,37.0,34.0,,,,89.0,,0.0,,,,
88,88.0,27.0,,64.0,2185.0,,,,4.0,,77.0,,,,,68.0,,79.0,51.0,,78.0,92.0,,67.0,77.0,91.0,84.0,,94.0,87.0,,,,93.0,54.0,,,,83.0,85.0,68.0,90.0,,71.0,53.0,,,,,9.0,80.0,86.0,,84.0,,,88.0,88.0,,88.0,,77.0,79.0,75.0,,,21.0,,,0.0,,0.0,
88,88.0,28.0,,74.0,,,,,4.0,,85.0,,85.0,,,73.0,88.0,,,88.0,62.0,86.0,87.0,69.0,,,,84.0,79.0,,78.0,,,,,79.0,,,81.0,,,86.0,,,,6.0,9.0,,14.0,14.0,81.0,,83.0,,83.0,84.0,,88.0,87.0,,,,,,,,,,0.0,0.0,,0.0,
88,,28.0,,75.0,,,1.0,3.0,,3.0,,56.0,75.0,,,,68.0,,,,35.0,69.0,,,85.0,79.0,77.0,81.0,68.0,,,,,,,,81.0,89.0,70.0,76.0,,,,,89.0,6.0,,,10.0,13.0,,73.0,,73.0,,,,79.0,,,,88.0,86.0,,90.0,,,,0.0,1.0,,,0.0
88,88.0,,,80.0,1428.0,478.0,,3.0,,3.0,,84.0,,89.0,,,11.0,15.0,11.0,40.0,11.0,,21.0,15.0,37.0,,,53.0,60.0,,,,74.0,39.0,75.0,13.0,,,,68.0,25.0,,,,14.0,89.0,,75.0,87.0,89.0,,,,37.0,37.0,35.0,,40.0,,40.0,,,,34.0,,,,0.0,0.0,,0.0,,
88,,30.0,,,1443.0,,,4.0,,,86.0,85.0,87.0,90.0,,85.0,,,11.0,,14.0,,,12.0,63.0,,,50.0,39.0,85.0,43.0,,79.0,,78.0,,,,,,,,,,10.0,86.0,85.0,,85.0,90.0,,,,,,35.0,,,,,36.0,,36.0,,36.0,34.0,,,0.0,,,0.0,
88,88.0,,,76.0,,,,5.0,3.0,,,81.0,,81.0,,68.0,88.0,,58.0,,,80.0,,84.0,93.0,88.0,55.0,52.0,63.0,,71.0,,,75.0,,,,,,89.0,,,,73.0,,10.0,11.0,,,10.0,,,81.0,,,,86.0,,88.0,,80.0,,80.0,,74.0,,22.0,,0.0,,,0.0,
88,,,172.0,,,,1.0,4.0,4.0,4.0,73.0,,89.0,88.0,,66.0,,,,91.0,76.0,85.0,,78.0,92.0,,,70.0,91.0,,,,,,,,62.0,,,90.0,,,,75.0,,13.0,9.0,7.0,14.0,9.0,,83.0,,82.0,82.0,83.0,,,88.0,87.0,,,,82.0,75.0,,,0.0,,,0.0,,1.0
87,88.0,,190.0,,,444.0,1.0,3.0,2.0,,82.0,53.0,71.0,67.0,,85.0,68.0,40.0,82.0,80.0,,,50.0,,78.0,72.0,,91.0,,85.0,50.0,,84.0,71.0,,67.0,,84.0,,,40.0,78.0,88.0,87.0,,,15.0,,12.0,8.0,,67.0,67.0,,,,69.0,,,,,,81.0,83.0,88.0,83.0,22.0,1.0,,0.0,,0.0,0.0
87,,26.0,191.0,82.0,2133.0,454.0,1.0,4.0,,3.0,58.0,,78.0,79.0,,84.0,63.0,64.0,80.0,86.0,,78.0,,,,,,,65.0,,,,,88.0,84.0,,82.0,83.0,75.0,83.0,46.0,,84.0,,,10.0,,,14.0,,,74.0,77.0,,77.0,,,79.0,,,,,82.0,82.0,85.0,82.0,21.0,0.0,0.0,,,,
87,88.0,,,78.0,2165.0,,,,3.0,,,69.0,78.0,,86.0,83.0,75.0,,75.0,,,,,53.0,,81.0,64.0,,,86.0,,81.0,75.0,,,,,,,,,,86.0,,86.0,13.0,,,8.0,,,,75.0,,,,79.0,,,80.0,,,,85.0,87.0,,,,0.0,1.0,1.0,,0.0
87,,35.0,,82.0,,,0.0,1.0,1.0,4.0,88.0,,74.0,88.0,61.0,,13.0,,9.0,,15.0,12.0,,,55.0,29.0,61.0,62.0,,,56.0,,,41.0,,14.0,,25.0,9.0,59.0,,,24.0,,,,83.0,,,88.0,34.0,33.0,,35.0,35.0,33.0,,,44.0,,,41.0,37.0,36.0,32.0,36.0,87.0,0.0,,,0.0,0.0,1.0
87,,,,76.0,,,1.0,,3.0,4.0,69.0,84.0,83.0,,56.0,71.0,,,,,84.0,,,59.0,79.0,,,71.0,72.0,,71.0,78.0,77.0,,66.0,82.0,62.0,58.0,96.0,,70.0,84.0,,,,6.0,7.0,,14.0,,,,84.0,84.0,,83.0,,86.0,85.0,,,74.0,,72.0,,,,,,0.0,1.0,0.0,
87,,,,,1415.0,468.0,1.0,,,,88.0,,,89.0,51.0,84.0,17.0,,,48.0,,,,19.0,50.0,,,,63.0,89.0,43.0,,67.0,43.0,55.0,,,,,,29.0,58.0,25.0,,,,80.0,,84.0,89.0,37.0,34.0,36.0,,36.0,34.0,,,,40.0,38.0,42.0,,37.0,,37.0,87.0,0.0,,1.0,,0.0,
87,87.0,,,,2189.0,444.0,,4.0,4.0,3.0,,61.0,87.0,,79.0,,,,,90.0,,91.0,,64.0,89.0,,65.0,55.0,,,,,,,53.0,,89.0,85.0,,89.0,64.0,94.0,78.0,,84.0,,,,,,74.0,,,,79.0,80.0,,,87.0,,85.0,,,83.0,,,,,,1.0,1.0,0.0,0.0
87,,,191.0,89.0,1496.0,,,4.0,1.0,,,82.0,,,,,,15.0,,,,31.0,,,,40.0,,,41.0,85.0,56.0,64.0,74.0,,78.0,20.0,,25.0,,,15.0,,,,19.0,,82.0,85.0,,89.0,40.0,38.0,41.0,,,,46.0,44.0,47.0,,,43.0,,36.0,,,,,,,0.0,,1.0
87,,,,,,,1.0,4.0,,3.0,,,,80.0,,,92.0,62.0,,,63.0,78.0,87.0,,,,76.0,76.0,73.0,83.0,,82.0,66.0,89.0,66.0,,71.0,83.0,78.0,90.0,55.0,82.0,79.0,,80.0,14.0,15.0,,6.0,,78.0,80.0,,79.0,79.0,80.0,85.0,86.0,,,87.0,,87.0,,,,22.0,,,,0.0,,1.0
87,,28.0,178.0,,,,0.0,,,3.0,,61.0,,81.0,,76.0,,,67.0,,32.0,81.0,82.0,71.0,,83.0,,,,,74.0,,,95.0,,65.0,85.0,,77.0,,,,,,82.0,11.0,,,,,75.0,,77.0,77.0,77.0,78.0,,84.0,,84.0,,,87.0,,,,,1.0,0.0,,1.0,,
87,,31.0,,,,,,,,,82.0,33.0,,,,85.0,38.0,25.0,,71.0,14.0,70.0,53.0,,67.0,72.0,,,,,34.0,67.0,,70.0,,20.0,83.0,,35.0,,33.0,,90.0,89.0,,7.0,11.0,7.0,13.0,5.0,62.0,,,60.0,60.0,59.0,64.0,66.0,,,78.0,82.0,,81.0,87.0,81.0,20.0,0.0,,,1.0,,
87,88.0,27.0,189.0,,2312.0,492.0,,4.0,3.0,,78.0,82.0,,,,,,,86.0,,71.0,,76.0,,,86.0,78.0,78.0,76.0,87.0,73.0,85.0,,,88.0,86.0,,86.0,85.0,84.0,,,74.0,,,13.0,,15.0,11.0,,87.0,83.0,84.0,84.0,,,,,88.0,,,,85.0,85.0,,85.0,,,0.0,0.0,0.0,,1.0
87,,25.0,180.0,74.0,2238.0,479.0,,,4.0,,82.0,69.0,86.0,,77.0,78.0,78.0,72.0,,91.0,70.0,87.0,,,,,80.0,,,88.0,79.0,,,,,66.0,,82.0,77.0,88.0,53.0,90.0,,,77.0,,,10.0,10.0,,81.0,,,,82.0,83.0,,88.0,89.0,,,87.0,86.0,85.0,,,21.0,1.0,,,0.0,,1.0
86,86.0,,174.0,,,,1.0,,,3.0,,72.0,,,72.0,,78.0,68.0,,91.0,82.0,,,77.0,89.0,92.0,,,90.0,,90.0,,,,,,80.0,82.0,,88.0,,90.0,,74.0,74.0,,11.0,,,13.0,77.0,81.0,80.0,80.0,,,86.0,,86.0,85.0,81.0,84.0,,,,79.0,21.0,,0.0,,0.0,,1.0
86,,32.0,,85.0,2060.0,434.0,,4.0,3.0,4.0,,87.0,68.0,,,,55.0,,81.0,79.0,,79.0,70.0,58.0,,,,86.0,,87.0,,,82.0,,74.0,80.0,,,,,,,34.0,,32.0,,,15.0,,6.0,86.0,80.0,,83.0,83.0,,83.0,81.0,76.0,81.0,,62.0,64.0,61.0,58.0,,20.0,,0.0,,0.0,0.0,
86,86.0,,191.0,,,437.0,,4.0,,,,,,77.0,,82.0,73.0,88.0,,,79.0,,,,,,,,59.0,,,,74.0,,,,,,86.0,,,82.0,30.0,,,,,14.0,,,86.0,80.0,,,,80.0,,,,82.0,63.0,62.0,63.0,60.0,59.0,60.0,22.0,,0.0,1.0,0.0,1.0,
86,86.0,,,,,,0.0,,,,,,83.0,80.0,,77.0,83.0,,77.0,89.0,67.0,77.0,77.0,,,85.0,79.0,,,,,82.0,,,,78.0,,,73.0,78.0,79.0,85.0,,,,,,,15.0,9.0,80.0,79.0,,79.0,79.0,79.0,83.0,83.0,85.0,83.0,86.0,,,86.0,86.0,,21.0,,,,0.0,,1.0
86,,,,69.0,2102.0,446.0,,3.0,,,,80.0,78.0,,,67.0,79.0,82.0,46.0,83.0,67.0,86.0,,,67.0,84.0,,,,91.0,93.0,,57.0,79.0,65.0,80.0,,30.0,91.0,80.0,70.0,,,,,15.0,12.0,,,,83.0,85.0,,85.0,,85.0,86.0,,,,71.0,,,68.0,58.0,68.0,24.0,1.0,,0.0,,0.0,1.0
86,86.0,31.0,,67.0,,,,4.0,5.0,3.0,,,,90.0,,,81.0,,,83.0,76.0,91.0,85.0,78.0,,,,77.0,92.0,83.0,,84.0,56.0,75.0,57.0,83.0,,,83.0,,80.0,,,31.0,,15.0,9.0,13.0,11.0,6.0,83.0,,,85.0,85.0,,,86.0,,86.0,,64.0,67.0,,,62.0,21.0,,0.0,,0.0,,1.0
86,,28.0,177.0,,,439.0,,,,3.0,80.0,,85.0,,40.0,,82.0,,,,,90.0,89.0,,,,,,,,,84.0,,,,,,42.0,,91.0,84.0,,32.0,,,,,4.0,,8.0,84.0,86.0,,85.0,85.0,86.0,86.0,,84.0,86.0,,66.0,,,,,17.0,,0.0,,,1.0,0.0
86,,37.0,183.0,,,411.0,,,,4.0,,54.0,73.0,,87.0,76.0,60.0,,82.0,,61.0,,62.0,61.0,82.0,,45.0,,,83.0,66.0,71.0,88.0,66.0,,65.0,76.0,89.0,59.0,,60.0,86.0,89.0,86.0,,9.0,,5.0,,,,65.0,,66.0,66.0,65.0,,,,70.0,78.0,85.0,,80.0,86.0,,21.0,0.0,,1.0,,0.0,0.0
86,,,195.0,90.0,,462.0,,3.0,,3.0,86.0,,73.0,87.0,,86.0,,12.0,,32.0,,,16.0,14.0,,,,,,,,55.0,,45.0,,,40.0,,,48.0,,65.0,20.0,13.0,,,81.0,,,87.0,,,,,,28.0,35.0,34.0,,34.0,31.0,34.0,,,,31.0,86.0,0.0,,1.0,0.0,0.0,
86,86.0,31.0,,84.0,,,1.0,4.0,,,84.0,,79.0,,46.0,85.0,13.0,13.0,,25.0,,,14.0,,,,43.0,50.0,42.0,83.0,,,,45.0,75.0,13.0,,22.0,,,,,15.0,14.0,,,,,,87.0,,,30.0,30.0,,,32.0,31.0,,,31.0,32.0,31.0,,32.0,31.0,86.0,,0.0,,0.0,,1.0
86,,,179.0,,,470.0,,,,3.0,72.0,,,81.0,,76.0,85.0,,,,87.0,79.0,,,,84.0,75.0,69.0,78.0,,,88.0,71.0,92.0,66.0,88.0,80.0,64.0,,91.0,90.0,79.0,,,65.0,,,,,14.0,84.0,83.0,84.0,84.0,,83.0,86.0,,,,,82.0,,,74.0,79.0,,,0.0,,1.0,,
86,,,182.0,74.0,,442.0,1.0,,3.0,,50.0,83.0,,,71.0,,86.0,,61.0,92.0,72.0,81.0,88.0,90.0,,86.0,,49.0,,79.0,,,49.0,76.0,70.0,88.0,58.0,,,,,,70.0,70.0,,5.0,9.0,,14.0,8.0,79.0,,,,80.0,,85.0,82.0,,82.0,,81.0,78.0,,73.0,,,0.0,0.0,1.0,0.0,,1.0
86,,,,85.0,1962.0,,0.0,3.0,,,,,,,,,,45.0,,,40.0,63.0,,69.0,,,55.0,65.0,57.0,87.0,55.0,,80.0,,,,81.0,87.0,54.0,,,84.0,86.0,87.0,,10.0,11.0,5.0,,5.0,,,66.0,,,64.0,,,77.0,70.0,,,80.0,,,,,,0.0,1.0,,,1.0
86,,,,,,426.0,,,,,92.0,77.0,,87.0,,61.0,81.0,,61.0,80.0,78.0,88.0,,70.0,74.0,87.0,,,92.0,86.0,,83.0,73.0,,,,35.0,,,81.0,,,,27.0,21.0,5.0,,,,,83.0,,84.0,84.0,,,86.0,87.0,78.0,87.0,,,63.0,,48.0,,16.0,,,1.0,,,1.0
86,,,181.0,,,,1.0,,,3.0,,74.0,81.0,81.0,,,73.0,,,,,,79.0,74.0,84.0,84.0,70.0,,,,84.0,80.0,,,68.0,,,,67.0,83.0,,,,84.0,,,8.0,15.0,11.0,8.0,,77.0,77.0,77.0,77.0,,83.0,,,,,86.0,84.0,,,,,0.0,0.0,1.0,,0.0,1.0
86,,25.0,172.0,68.0,2296.0,,1.0,3.0,3.0,3.0,79.0,,83.0,84.0,77.0,81.0,,,,86.0,,,79.0,67.0,85.0,87.0,80.0,,90.0,,90.0,77.0,,94.0,,,84.0,,,86.0,73.0,86.0,,79.0,,,5.0,,,11.0,80.0,,81.0,81.0,,,,86.0,,86.0,86.0,,86.0,,,85.0,22.0,,,,,0.0,0.0
86,90.0,,174.0,72.0,,,1.0,,,3.0,83.0,83.0,72.0,85.0,48.0,84.0,58.0,88.0,84.0,,90.0,,78.0,,73.0,,,,,89.0,,80.0,,,84.0,,,45.0,,,,,55.0,,44.0,11.0,8.0,8.0,,,,82.0,84.0,,84.0,82.0,85.0,83.0,,,68.0,69.0,,66.0,65.0,,,1.0,0.0,0.0,,0.0,1.0
86,87.0,,188.0,,,419.0,,3.0,2.0,,78.0,41.0,,,,,40.0,,81.0,72.0,,67.0,34.0,,,,,,54.0,,56.0,50.0,,,,,,,30.0,46.0,56.0,87.0,91.0,90.0,,,,,8.0,,63.0,,,60.0,,59.0,64.0,66.0,,66.0,,83.0,,82.0,,82.0,,,1.0,0.0,,0.0,0.0
86,89.0,,,73.0,2196.0,471.0,1.0,,,3.0,88.0,,,88.0,65.0,,81.0,86.0,61.0,85.0,,89.0,82.0,80.0,,88.0,,,,85.0,90.0,,59.0,,64.0,78.0,59.0,67.0,,85.0,67.0,,62.0,,59.0,5.0,6.0,10.0,15.0,,,86.0,85.0,85.0,,,89.0,,86.0,89.0,80.0,77.0,,77.0,70.0,77.0,20.0,1.0,,,,,
86,87.0,30.0,,86.0,1225.0,454.0,1.0,2.0,,2.0,,82.0,,,,85.0,,5.0,10.0,,9.0,,13.0,,,31.0,33.0,36.0,,,,61.0,39.0,37.0,72.0,,,13.0,,52.0,,,10.0,11.0,13.0,84.0,,,85.0,,31.0,,,32.0,,,,,40.0,,,,,,28.0,28.0,86.0,,0.0,,,,1.0
86,,21.0,176.0,,1985.0,,1.0,4.0,5.0,,,,,90.0,29.0,,,,50.0,,72.0,92.0,,,73.0,89.0,,,,82.0,83.0,76.0,75.0,,62.0,76.0,,26.0,82.0,75.0,65.0,79.0,,,,5.0,,,,,,,84.0,84.0,,,85.0,86.0,77.0,86.0,63.0,,,58.0,,58.0,17.0,,0.0,0.0,0.0,,
86,87.0,27.0,191.0,76.0,2250.0,477.0,1.0,5.0,4.0,,68.0,80.0,,,79.0,86.0,71.0,,86.0,,,,,78.0,,87.0,,,,84.0,63.0,83.0,,,,,,,,,59.0,,78.0,79.0,,,10.0,,16.0,,,,,82.0,,,86.0,84.0,87.0,84.0,,86.0,83.0,,84.0,82.0,21.0,1.0,,0.0,,,1.0
85,,,195.0,,,412.0,,3.0,,,71.0,48.0,66.0,,85.0,,,30.0,,79.0,46.0,,33.0,,,,60.0,,34.0,82.0,,78.0,60.0,65.0,,,,81.0,42.0,66.0,,,,,,15.0,,,7.0,15.0,65.0,,61.0,61.0,61.0,,66.0,65.0,,65.0,,82.0,,79.0,,79.0,,0.0,,1.0,0.0,0.0,
85,,,173.0,75.0,2126.0,,,4.0,4.0,,,,82.0,87.0,38.0,,,,49.0,,,89.0,,79.0,,86.0,,79.0,85.0,81.0,,84.0,,80.0,81.0,,79.0,,,,74.0,89.0,34.0,42.0,,,,,14.0,,83.0,84.0,,84.0,,,,85.0,82.0,85.0,67.0,,67.0,,,63.0,,,,,0.0,0.0,
85,,26.0,,,2058.0,,1.0,4.0,4.0,4.0,,84.0,79.0,85.0,,69.0,78.0,86.0,42.0,,83.0,,74.0,62.0,75.0,82.0,,,85.0,,,87.0,,76.0,69.0,82.0,,,86.0,,,82.0,,,43.0,14.0,,,,,82.0,83.0,,83.0,,83.0,,,80.0,85.0,69.0,66.0,,65.0,,,,1.0,,0.0,0.0,,
85,85.0,,,,2195.0,458.0,,4.0,4.0,,,,,,72.0,,78.0,,,,75.0,85.0,86.0,,85.0,,66.0,,,86.0,77.0,,61.0,74.0,73.0,81.0,,,83.0,86.0,80.0,,76.0,,,11.0,14.0,5.0,5.0,,,82.0,82.0,82.0,82.0,,,85.0,,85.0,80.0,83.0,,78.0,75.0,,,,,0.0,0.0,0.0,1.0
85,85.0,32.0,183.0,83.0,2196.0,,,2.0,3.0,,91.0,,77.0,,80.0,82.0,,,,80.0,57.0,,,71.0,,81.0,87.0,94.0,66.0,,69.0,,,86.0,80.0,69.0,,80.0,68.0,,,75.0,76.0,,83.0,12.0,,,15.0,,77.0,,,76.0,76.0,,,81.0,,,,84.0,,,84.0,85.0,,,0.0,0.0,1.0,,0.0
