Overall,Potential,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling, GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating,Attacking Work Rate_High,Attacking Work Rate_Low,Attacking Work Rate_Medium,Defensive Work Rate_High,Defensive Work Rate_Low,Defensive Work Rate_Medium
89,,,,89.0,2193.0,,,,,,68.0,,,,47.0,,,93.0,,84.0,,83.0,82.0,,,84.0,,69.0,68.0,,71.0,,79.0,83.0,83.0,,80.0,,94.0,,,,50.0,36.0,38.0,,10.0,,14.0,11.0,89.0,,86.0,86.0,86.0,84.0,,,,86.0,,,,66.0,,,23.0,,0.0,0.0,,,0.0
89,89.0,30.0,,,,,,,,,87.0,,,,37.0,,,83.0,63.0,,,,88.0,87.0,,94.0,88.0,,,,,,,79.0,,,63.0,,,89.0,,93.0,35.0,32.0,,,9.0,15.0,15.0,11.0,85.0,,,,,,,,85.0,,,66.0,69.0,64.0,,,,,0.0,0.0,0.0,0.0,1.0
89,89.0,29.0,183.0,78.0,2141.0,,1.0,,,,88.0,,,86.0,42.0,,,91.0,,84.0,,,,74.0,,,85.0,,85.0,,76.0,,,88.0,,89.0,62.0,39.0,,,,89.0,47.0,,,11.0,,,,10.0,,87.0,,,,87.0,,,,,,,71.0,,,67.0,22.0,,0.0,0.0,0.0,0.0,
89,89.0,30.0,,84.0,2209.0,,,3.0,2.0,,,,75.0,,87.0,,,64.0,79.0,,,,,,83.0,,,66.0,61.0,,66.0,88.0,85.0,90.0,,,91.0,,75.0,,66.0,,87.0,,87.0,13.0,,,12.0,12.0,,,75.0,,75.0,,,,,76.0,83.0,89.0,,,89.0,,24.0,0.0,0.0,,,,0.0
89,,,,87.0,1402.0,,,,1.0,,86.0,,78.0,,49.0,87.0,13.0,11.0,15.0,43.0,13.0,12.0,13.0,14.0,,30.0,43.0,,,,,,77.0,41.0,,,34.0,21.0,11.0,,11.0,,,,18.0,,,,,,36.0,32.0,34.0,34.0,34.0,,41.0,,,37.0,35.0,,,,36.0,,,,0.0,,0.0,0.0,
89,,30.0,,69.0,,,,,,,90.0,,,,44.0,,,,84.0,,,,77.0,,,86.0,91.0,,,,88.0,,,85.0,72.0,78.0,,,90.0,,,84.0,42.0,42.0,38.0,10.0,10.0,,,,,,87.0,,87.0,,89.0,,82.0,89.0,,68.0,71.0,,62.0,68.0,22.0,,,0.0,0.0,0.0,
89,,28.0,188.0,,1583.0,,0.0,,1.0,,87.0,82.0,93.0,88.0,64.0,88.0,20.0,14.0,14.0,61.0,18.0,23.0,15.0,20.0,,40.0,,,,,,,66.0,,,18.0,,27.0,20.0,,51.0,70.0,29.0,15.0,8.0,,,,,,,41.0,,43.0,43.0,,50.0,47.0,,47.0,,47.0,40.0,39.0,,,,0.0,0.0,,0.0,0.0,1.0
89,90.0,,177.0,,,473.0,1.0,,,,68.0,72.0,,84.0,,,,,,,,,,69.0,,85.0,,,,88.0,,,79.0,,68.0,,,,80.0,,,85.0,,,78.0,,,7.0,15.0,15.0,,81.0,,80.0,,,,86.0,89.0,,,,87.0,,84.0,,24.0,,0.0,0.0,,,1.0
89,90.0,,,,1437.0,,,,1.0,,86.0,,,89.0,54.0,,,,,60.0,20.0,27.0,19.0,18.0,,,58.0,49.0,40.0,,,,52.0,32.0,,,27.0,11.0,13.0,,23.0,68.0,15.0,19.0,16.0,,,,,,42.0,,41.0,41.0,,38.0,,,,,,,36.0,,35.0,35.0,,0.0,0.0,,0.0,0.0,
89,,31.0,,70.0,,462.0,,,2.0,,,66.0,,,,,,,54.0,,,,,,,,,,,93.0,,71.0,75.0,,,,,,,77.0,,84.0,,,,15.0,,10.0,7.0,10.0,,,76.0,,,76.0,,,84.0,,,,87.0,,,,23.0,0.0,0.0,1.0,,0.0,0.0
88,91.0,25.0,,82.0,,,,4.0,2.0,,63.0,39.0,66.0,,88.0,,,29.0,,,,,46.0,,,,,67.0,,,,74.0,78.0,,,26.0,,,39.0,,,,,,,7.0,8.0,13.0,,12.0,,59.0,60.0,60.0,,59.0,,67.0,,,,,81.0,83.0,,,,0.0,0.0,,,,0.0
88,,,195.0,94.0,,,0.0,,3.0,4.0,89.0,91.0,,,,87.0,,,79.0,,,78.0,,,,,,,,,72.0,94.0,,,93.0,,,43.0,89.0,,76.0,85.0,44.0,,29.0,,14.0,,11.0,7.0,90.0,80.0,84.0,,84.0,80.0,,80.0,,80.0,,67.0,,64.0,65.0,,,,0.0,0.0,,0.0,1.0
88,,,,90.0,1375.0,478.0,1.0,3.0,1.0,,,,,,,,12.0,12.0,,36.0,8.0,28.0,12.0,14.0,,,,55.0,64.0,85.0,38.0,,,34.0,72.0,18.0,,26.0,14.0,,,65.0,20.0,14.0,16.0,,,,,,37.0,34.0,36.0,,36.0,34.0,41.0,,40.0,38.0,34.0,,34.0,34.0,34.0,,,0.0,0.0,1.0,,0.0,
88,,,173.0,,2185.0,460.0,0.0,3.0,,,,,84.0,,,68.0,,,51.0,,,,,,,,84.0,,94.0,87.0,,,,,54.0,,,60.0,,,,,,,,9.0,10.0,14.0,,,,,84.0,,84.0,,,88.0,,,,77.0,,,,,,,,0.0,,0.0,0.0
88,88.0,,,74.0,,,,4.0,,,,73.0,,,81.0,,,,,,,,,,,,86.0,84.0,79.0,,78.0,,,91.0,,79.0,,82.0,,,,,81.0,,,,9.0,,14.0,14.0,,84.0,,83.0,83.0,,,,,,88.0,,,87.0,82.0,87.0,22.0,,0.0,0.0,0.0,,
88,,28.0,,,,,,3.0,,,79.0,56.0,,74.0,,80.0,68.0,59.0,,,35.0,,58.0,32.0,,79.0,77.0,,68.0,,66.0,,,,78.0,,,,,,52.0,,,,,,6.0,12.0,10.0,,75.0,73.0,,73.0,,,,79.0,,79.0,,88.0,86.0,,90.0,87.0,,0.0,0.0,,,0.0,0.0
88,,,,,1428.0,478.0,,3.0,,3.0,89.0,,,,,,,15.0,11.0,40.0,11.0,24.0,21.0,15.0,,30.0,,53.0,,,61.0,56.0,74.0,,75.0,13.0,32.0,22.0,16.0,,25.0,,28.0,,,,,,,,37.0,35.0,,,,,,40.0,,,,39.0,,34.0,,,,0.0,0.0,,0.0,0.0,
88,,30.0,,85.0,1443.0,480.0,,,1.0,,86.0,,,,,,18.0,,11.0,,14.0,21.0,18.0,12.0,63.0,30.0,,,39.0,,,,79.0,,,10.0,43.0,22.0,11.0,70.0,,,25.0,13.0,10.0,,,,,,38.0,35.0,38.0,,38.0,,,,,,36.0,44.0,,34.0,36.0,34.0,,0.0,,1.0,,0.0,1.0
88,88.0,,,,,444.0,,,,,53.0,,90.0,,71.0,68.0,,77.0,58.0,,,80.0,,,,,55.0,,63.0,90.0,71.0,89.0,32.0,,72.0,86.0,,,,,,88.0,,,60.0,10.0,,,,,80.0,,,,,,86.0,,,,,84.0,80.0,,,,,0.0,,1.0,0.0,0.0,
88,88.0,,172.0,66.0,,464.0,1.0,,4.0,,,76.0,,,,66.0,,,,,76.0,85.0,,,,90.0,,70.0,,,,79.0,67.0,,58.0,,62.0,,,,82.0,,,,,,9.0,,14.0,,,,,82.0,,83.0,,,,,84.0,,,,,82.0,22.0,0.0,0.0,,0.0,0.0,
87,88.0,,,85.0,2011.0,444.0,,3.0,,,82.0,53.0,71.0,67.0,,85.0,,,,80.0,,,50.0,,,,,,56.0,,,77.0,,,90.0,67.0,92.0,,,61.0,40.0,,,,,14.0,15.0,,12.0,8.0,,,,67.0,,,69.0,,,,,,,,88.0,,22.0,,0.0,0.0,,0.0,0.0
87,,,191.0,,2133.0,,1.0,,,,58.0,,,79.0,,84.0,,,,,,78.0,65.0,,83.0,,,62.0,65.0,,65.0,,72.0,,84.0,,,,75.0,,46.0,,,86.0,,10.0,10.0,,14.0,8.0,,,,,,,,79.0,,,,,82.0,,85.0,,,0.0,,,,,0.0
87,88.0,,188.0,78.0,,459.0,,,,,66.0,,,,86.0,,,,,,,,,53.0,,81.0,64.0,,63.0,,,,75.0,88.0,81.0,70.0,85.0,,,,,,86.0,,,13.0,12.0,,8.0,,,,,75.0,75.0,,,80.0,,,,,,,87.0,85.0,21.0,0.0,,,,,0.0
87,,,,82.0,1399.0,,0.0,1.0,1.0,,88.0,,,88.0,,,13.0,10.0,9.0,,15.0,12.0,12.0,10.0,,29.0,,,,84.0,,56.0,74.0,,,14.0,31.0,,9.0,59.0,40.0,,24.0,12.0,18.0,,,,,,34.0,33.0,35.0,35.0,35.0,,42.0,40.0,,40.0,37.0,,37.0,36.0,32.0,36.0,87.0,0.0,,,0.0,0.0,
87,87.0,32.0,185.0,,2140.0,443.0,,4.0,,,69.0,,,,56.0,,85.0,,,,,,81.0,59.0,,84.0,66.0,,,,,,,86.0,,,62.0,58.0,,86.0,,84.0,,,46.0,,7.0,,,,,,84.0,84.0,,83.0,,,,,,,74.0,72.0,,72.0,23.0,,0.0,0.0,,,0.0
87,87.0,31.0,192.0,,,,1.0,3.0,1.0,,,80.0,76.0,89.0,51.0,,17.0,,21.0,,13.0,18.0,21.0,19.0,,,52.0,50.0,63.0,89.0,43.0,57.0,67.0,43.0,,12.0,30.0,30.0,,,,,,21.0,13.0,,,,,,,34.0,36.0,36.0,,34.0,,40.0,44.0,,38.0,,,37.0,,,,0.0,,,,,1.0
87,,29.0,165.0,,2189.0,,,4.0,,,60.0,,,,79.0,,,,57.0,,64.0,,,,,,,55.0,,,,,66.0,75.0,,58.0,89.0,,,,64.0,,,,,12.0,12.0,15.0,15.0,10.0,74.0,,,,,,,85.0,87.0,85.0,,87.0,,83.0,,83.0,,0.0,0.0,,,0.0,0.0
87,,,,89.0,,477.0,,,1.0,,,,85.0,89.0,51.0,,18.0,15.0,,,16.0,,,16.0,53.0,40.0,50.0,,41.0,85.0,56.0,,74.0,,,20.0,35.0,,,,,,,16.0,19.0,,,,,,40.0,38.0,,41.0,41.0,,,44.0,,44.0,38.0,,38.0,36.0,,,,0.0,0.0,,0.0,,
87,,23.0,,,,,,,,,76.0,,,,80.0,,,62.0,69.0,87.0,,,,85.0,91.0,,76.0,,73.0,83.0,73.0,,,89.0,66.0,,71.0,83.0,78.0,90.0,,,,,,,15.0,,,,,80.0,,,,,,86.0,,,87.0,87.0,,,81.0,,,,0.0,0.0,0.0,0.0,1.0
87,,,178.0,,,461.0,0.0,2.0,3.0,3.0,80.0,,,81.0,82.0,,,55.0,67.0,82.0,,,,,76.0,83.0,,,,85.0,74.0,76.0,62.0,,65.0,,,84.0,77.0,,,,,84.0,82.0,11.0,8.0,10.0,7.0,,75.0,78.0,77.0,,77.0,,,,,84.0,,,,,,87.0,21.0,,0.0,0.0,,,0.0
87,,31.0,187.0,,,415.0,1.0,4.0,2.0,3.0,,33.0,,68.0,88.0,,,,,71.0,,,,,,72.0,74.0,88.0,51.0,,34.0,,,,,20.0,,,35.0,,33.0,82.0,,,86.0,7.0,11.0,7.0,13.0,,62.0,,,60.0,60.0,,,66.0,,,,82.0,78.0,81.0,87.0,81.0,,0.0,0.0,,,,0.0
87,88.0,27.0,189.0,82.0,,,,,3.0,,78.0,,,,,,,,86.0,,,,,,85.0,,,,,,73.0,,80.0,,,,82.0,,,,,,,,,,8.0,15.0,11.0,9.0,,,84.0,,,83.0,,86.0,88.0,86.0,,,85.0,,86.0,,,,,0.0,0.0,0.0,
87,,25.0,,,,479.0,,3.0,,,82.0,69.0,,,,,78.0,72.0,,91.0,70.0,,,,89.0,,,,,,,,,,,,,82.0,,88.0,53.0,,76.0,,77.0,7.0,,10.0,10.0,9.0,,,82.0,,,,88.0,88.0,,88.0,,,,,,,,,,0.0,0.0,,
86,86.0,31.0,,,,,,3.0,,,,,,90.0,,69.0,,,,91.0,82.0,89.0,,,,92.0,,55.0,,84.0,,,,,,73.0,80.0,,,,,90.0,,,,6.0,,,9.0,,,81.0,,80.0,,,,,86.0,85.0,,,,79.0,,,21.0,0.0,,1.0,0.0,0.0,
86,,32.0,,,2060.0,,,4.0,3.0,,,87.0,68.0,80.0,,,,91.0,81.0,,,,70.0,,,81.0,,86.0,75.0,87.0,,,,78.0,,,,,,71.0,,76.0,34.0,33.0,32.0,,,15.0,,6.0,,80.0,,83.0,,,83.0,,,81.0,,,64.0,,58.0,,,,,0.0,0.0,0.0,
86,,,191.0,,,,0.0,,,,80.0,,,,,,,88.0,,,79.0,,,,,,,,,,52.0,87.0,,,,,,27.0,,75.0,,,30.0,,,8.0,,14.0,7.0,,86.0,,82.0,,,80.0,82.0,82.0,,,63.0,62.0,63.0,,,,,0.0,0.0,,0.0,,0.0
86,,,,78.0,,,0.0,4.0,,4.0,,,83.0,,85.0,77.0,,,77.0,,,,,,,85.0,79.0,,,,,,,,,78.0,,,,,79.0,,,,,5.0,,,15.0,9.0,80.0,,,,,,83.0,,,,86.0,,,86.0,,,21.0,,0.0,,0.0,0.0,1.0
86,86.0,27.0,170.0,,,,,3.0,4.0,,,80.0,,,,67.0,,,46.0,,,,79.0,72.0,,84.0,,,,91.0,93.0,,,79.0,,,,30.0,91.0,80.0,,77.0,,,,,,,15.0,9.0,83.0,,85.0,,85.0,,,86.0,80.0,,,67.0,,,,,,,0.0,0.0,0.0,0.0,
86,86.0,,179.0,,2063.0,432.0,0.0,,,3.0,,83.0,,,,60.0,81.0,,56.0,83.0,76.0,,85.0,78.0,,,84.0,,,,,,56.0,,,,,39.0,,,80.0,,,,22.0,15.0,9.0,,,6.0,,,85.0,,,,,,,86.0,67.0,,67.0,62.0,,,,0.0,0.0,,0.0,,
86,86.0,,,,2108.0,,0.0,,,,,85.0,85.0,,,59.0,,,,,,90.0,89.0,,79.0,,84.0,76.0,,79.0,90.0,84.0,,,60.0,89.0,43.0,42.0,,,,,32.0,,,5.0,4.0,4.0,5.0,,84.0,,,,85.0,,,86.0,,,,,,,,,17.0,,0.0,0.0,0.0,,0.0
86,,,183.0,,2012.0,,,,,4.0,,,,72.0,87.0,76.0,,40.0,,81.0,,,,,,79.0,,,,83.0,,,88.0,66.0,,65.0,,,,,,,,,,,12.0,,9.0,10.0,,65.0,66.0,,66.0,,72.0,,79.0,,,,78.0,,,,,0.0,,,,0.0,0.0
86,,,,,,462.0,1.0,3.0,1.0,,,,,,,86.0,12.0,12.0,16.0,32.0,14.0,11.0,16.0,14.0,,22.0,51.0,,,82.0,,,71.0,,65.0,,40.0,15.0,14.0,,,,20.0,13.0,12.0,,,,,,34.0,,,31.0,31.0,,,34.0,,,31.0,,31.0,,,,86.0,0.0,0.0,,0.0,0.0,
86,,31.0,189.0,,1252.0,,,4.0,1.0,,84.0,,79.0,,46.0,,13.0,13.0,11.0,25.0,12.0,10.0,14.0,12.0,12.0,,,,42.0,,37.0,,,,75.0,13.0,30.0,22.0,,46.0,,,15.0,14.0,,,,,,,33.0,27.0,,30.0,30.0,27.0,32.0,31.0,31.0,,,32.0,,31.0,32.0,31.0,,0.0,0.0,,,0.0,
86,86.0,,179.0,,,470.0,1.0,3.0,4.0,,72.0,,88.0,,67.0,76.0,85.0,,,88.0,,,,,,,,,78.0,,79.0,,71.0,92.0,,,,,86.0,,,,,,65.0,12.0,,,8.0,,,,,,,,86.0,,86.0,,,82.0,,79.0,,,24.0,,0.0,0.0,,,0.0
86,,,182.0,,,442.0,,,,,50.0,,90.0,,,68.0,,,61.0,,72.0,81.0,,90.0,90.0,,52.0,,,79.0,,,49.0,,,,58.0,80.0,,90.0,88.0,,,70.0,,5.0,9.0,12.0,,8.0,,,,,,,,82.0,86.0,,78.0,81.0,78.0,,73.0,,,0.0,,,,,
86,,,191.0,,,,0.0,,,,61.0,50.0,72.0,,,,58.0,45.0,84.0,83.0,40.0,,,69.0,,78.0,55.0,,,87.0,,68.0,,67.0,,,81.0,,,65.0,44.0,,,,86.0,10.0,,5.0,,5.0,69.0,64.0,66.0,,66.0,64.0,71.0,,,,,,80.0,,,81.0,21.0,0.0,0.0,,,,1.0
86,87.0,26.0,,75.0,,,1.0,3.0,,,,,79.0,87.0,30.0,61.0,,76.0,,80.0,,,,70.0,,,,90.0,,86.0,,83.0,,,,,35.0,,84.0,,70.0,,,27.0,21.0,5.0,3.0,5.0,3.0,5.0,83.0,,,,,,,87.0,,,63.0,58.0,63.0,,,,16.0,,,1.0,0.0,,
86,,,181.0,,,,1.0,,3.0,,,,81.0,,,,73.0,69.0,70.0,,,79.0,79.0,74.0,,,,,79.0,83.0,,,,94.0,,,,84.0,,83.0,,82.0,,,,8.0,8.0,15.0,,8.0,77.0,,77.0,77.0,,77.0,83.0,81.0,,81.0,84.0,,,,,84.0,20.0,,0.0,,0.0,0.0,
86,,25.0,,68.0,2296.0,480.0,1.0,,3.0,,79.0,,,84.0,,81.0,,,,,80.0,80.0,79.0,,85.0,,80.0,,,,,,78.0,,73.0,79.0,,83.0,,,,,,79.0,81.0,,5.0,,,,80.0,82.0,,81.0,,,,,,,86.0,87.0,,,,85.0,,,,0.0,,0.0,0.0
86,90.0,,,,,455.0,,,,,83.0,,,,48.0,84.0,,,84.0,76.0,,,78.0,,73.0,,,80.0,86.0,89.0,89.0,,89.0,,84.0,,90.0,,,,,86.0,,31.0,44.0,,,8.0,8.0,13.0,88.0,82.0,,84.0,84.0,,,,79.0,,,,,,65.0,66.0,,,0.0,0.0,,0.0,
86,87.0,27.0,,,1861.0,,,,2.0,,,41.0,57.0,,,,40.0,42.0,81.0,,,,,,,,,,54.0,,56.0,50.0,,,,30.0,,,30.0,46.0,,,,90.0,,10.0,,12.0,,12.0,63.0,,,,,,64.0,,70.0,66.0,79.0,,79.0,,,,22.0,0.0,,0.0,,0.0,0.0
86,89.0,,,73.0,2196.0,,,3.0,,3.0,88.0,81.0,,88.0,65.0,66.0,,,,85.0,,89.0,,,80.0,,,,,,,,59.0,,64.0,,59.0,,86.0,,,81.0,62.0,69.0,,5.0,6.0,10.0,15.0,7.0,85.0,,,85.0,85.0,,89.0,89.0,86.0,,,,,,,,20.0,,0.0,0.0,,,1.0
86,87.0,30.0,197.0,,,454.0,,2.0,1.0,,,,,,34.0,85.0,10.0,5.0,,,9.0,18.0,13.0,14.0,,,33.0,36.0,,84.0,33.0,,,,72.0,9.0,22.0,13.0,6.0,52.0,13.0,58.0,10.0,11.0,13.0,,,,,,,,,,,,37.0,34.0,,34.0,30.0,36.0,,28.0,28.0,28.0,,0.0,,,0.0,0.0,
86,,,176.0,,1985.0,,1.0,4.0,,,,,74.0,90.0,29.0,,72.0,,,75.0,,,,,,,95.0,,94.0,,,,,,,,,,82.0,75.0,65.0,79.0,32.0,25.0,18.0,5.0,7.0,7.0,7.0,,,,84.0,,,85.0,85.0,,77.0,,,,,,,,,,,0.0,,0.0,
86,,,191.0,,,,,,4.0,,68.0,80.0,82.0,,,,,,,86.0,,,,,,,,,62.0,84.0,,,,,,,,,,,59.0,,,,74.0,7.0,,7.0,,,,,82.0,82.0,,80.0,86.0,,,84.0,83.0,,,,,,21.0,,0.0,0.0,0.0,,
85,,26.0,195.0,,1839.0,,,,,,71.0,48.0,,59.0,,83.0,48.0,30.0,,79.0,,,,,,,60.0,80.0,,82.0,44.0,78.0,,65.0,,62.0,86.0,81.0,,66.0,32.0,,83.0,,,,7.0,,7.0,,65.0,,,,61.0,,,,,,77.0,,,79.0,,,22.0,0.0,0.0,,,0.0,1.0
85,85.0,,,75.0,2126.0,,0.0,,4.0,,,,82.0,,38.0,,,,,,,,,,77.0,86.0,88.0,,,81.0,,,64.0,80.0,,,,34.0,,,74.0,,34.0,,30.0,15.0,9.0,,,15.0,,,84.0,,84.0,,,85.0,,85.0,67.0,66.0,,,56.0,63.0,23.0,,0.0,0.0,,0.0,
85,,26.0,176.0,,2058.0,,1.0,,4.0,,,,79.0,,,,,,42.0,82.0,83.0,87.0,,,75.0,82.0,,79.0,85.0,,88.0,,55.0,76.0,69.0,,,,,82.0,,82.0,,44.0,,,10.0,,9.0,7.0,,,,,,83.0,,85.0,,85.0,69.0,66.0,,,56.0,,,,0.0,0.0,0.0,0.0,
85,85.0,31.0,180.0,,,458.0,1.0,4.0,,,64.0,,,85.0,72.0,,,,,,,,,80.0,,,,63.0,77.0,,77.0,,61.0,74.0,,,70.0,,,,,,76.0,75.0,,,,5.0,5.0,,,82.0,82.0,82.0,82.0,82.0,85.0,85.0,85.0,85.0,,83.0,,,75.0,,22.0,,0.0,0.0,0.0,,
85,,,183.0,,2196.0,,1.0,2.0,3.0,,91.0,63.0,,,80.0,82.0,,51.0,,,,,,,81.0,,,,,,,86.0,,,80.0,69.0,84.0,,68.0,,,75.0,76.0,,,12.0,6.0,,,8.0,,,,,,,,,81.0,,,84.0,85.0,85.0,84.0,,22.0,,0.0,0.0,,0.0,0.0
85,85.0,,,80.0,,,1.0,,,,87.0,,,,36.0,,,,,,,,,76.0,,,85.0,,,84.0,,,,,,,,,,,,83.0,20.0,29.0,,6.0,9.0,,9.0,,85.0,81.0,82.0,82.0,,81.0,83.0,83.0,,83.0,,61.0,65.0,,54.0,,,,0.0,0.0,0.0,,0.0
85,,33.0,,,,465.0,0.0,,,3.0,,,,82.0,,,,73.0,,,,,,,,,,83.0,87.0,,,64.0,,83.0,,66.0,,,83.0,,,,,,,13.0,15.0,13.0,,13.0,,,,79.0,,,,,,,85.0,83.0,,,,,,,0.0,0.0,0.0,0.0,
85,,33.0,,,2002.0,,,3.0,3.0,,42.0,,79.0,,82.0,,62.0,,68.0,,,80.0,,,85.0,85.0,,,66.0,,50.0,61.0,66.0,75.0,,54.0,79.0,84.0,,83.0,60.0,,,,,5.0,8.0,13.0,,,,72.0,,,,72.0,,77.0,,,79.0,85.0,79.0,,,78.0,,,,,0.0,0.0,
85,,34.0,176.0,,,430.0,0.0,4.0,3.0,,,85.0,,,35.0,,,90.0,,79.0,,,,83.0,,,78.0,,,84.0,72.0,,,70.0,60.0,,,39.0,,,,,39.0,21.0,18.0,12.0,16.0,9.0,,13.0,,,,,84.0,,,84.0,,,,60.0,63.0,,51.0,59.0,,,0.0,0.0,,0.0,0.0
85,85.0,,,,,459.0,,,,,67.0,,,,62.0,80.0,,74.0,,,,,,82.0,92.0,,,72.0,71.0,,,,,65.0,88.0,84.0,,,77.0,,,85.0,53.0,,,,6.0,2.0,,3.0,,,,82.0,82.0,80.0,,,,83.0,,,74.0,,73.0,,15.0,0.0,0.0,1.0,0.0,,0.0
85,,28.0,176.0,78.0,,,1.0,3.0,,,83.0,,,,30.0,79.0,84.0,,65.0,,,87.0,,83.0,76.0,,82.0,84.0,80.0,,,,,79.0,,,72.0,28.0,,85.0,76.0,,,31.0,20.0,8.0,,6.0,,,85.0,,,,,,,,,,64.0,,64.0,,,59.0,22.0,,0.0,0.0,0.0,,0.0
