Known As,Full Name,Best Position,Nationality,Club Name
K. Walker,Kyle Walker,RB,England,Manchester City
P. Aubameyang,Pierre-Emerick Aubameyang,ST,Gabon,Chelsea
Jordi Alba,Jordi Alba Ramos,LB,Spain,FC Barcelona
Sergio Busquets,Sergio Busquets Burgos,CDM,Spain,FC Barcelona
Iago Aspas,Iago Aspas Juncal,ST,Spain,RC Celta de Vigo
P. Pogba,Paul Pogba,CM,France,Juventus
M. Depay,Memphis Depay,CF,Netherlands,FC Barcelona
Jorginho,Luiz Frello Filho Jorge,CM,Italy,Chelsea
M. Acuña,Marcos Acuña,LB,Argentina,Sevilla FC
Gerard Moreno,Gerard Moreno Balagueró,ST,Spain,Villarreal CF
Y. Carrasco,Yannick Carrasco,LM,Belgium,Atlético de Madrid
F. Kostić,Filip Kostić,LM,Serbia,Juventus
J. Vardy,Jamie Vardy,ST,England,Leicester City
Pedri,Pedro González López,CM,Spain,FC Barcelona
P. Foden,Phil Foden,CAM,England,Manchester City
M. de Ligt,Matthijs de Ligt,CB,Netherlands,FC Bayern München
P. Schick,Patrik Schick,ST,Czech Republic,Bayer 04 Leverkusen
T. Hernández,Theo Hernández,LWB,France,AC Milan
Diogo Jota,Diogo José Teixeira da Silva,ST,Portugal,Liverpool
P. Gulácsi,Péter Gulácsi,GK,Hungary,RB Leipzig
Y. Sommer,Yann Sommer,GK,Switzerland,Borussia Mönchengladbach
M. Reus,Marco Reus,CAM,Germany,Borussia Dortmund
L. Hernández,Lucas Hernández,CB,France,FC Bayern München
Sergio Ramos,Sergio Ramos García,CB,Spain,Paris Saint-Germain
A. Gómez,Alejandro Gómez,CAM,Argentina,Sevilla FC
S. Handanovič,Samir Handanovič,GK,Slovenia,Inter
D. Mertens,Dries Mertens,CF,Belgium,Galatasaray SK
L. Suárez,Luis Suárez,ST,Uruguay,Club Nacional de Football
D. Tadić,Dušan Tadić,LW,Serbia,Ajax
D. Berardi,Domenico Berardi,RM,Italy,U.S. Sassuolo Calcio
T. Partey,Thomas Partey,CDM,Ghana,Arsenal
Y. Bounou,Yassine Bounou,GK,Morocco,Sevilla FC
H. Çalhanoğlu,Hakan Çalhanoğlu,CM,Turkey,Inter
M. Kovačić,Mateo Kovačić,CM,Croatia,Chelsea
J. Grealish,Jack Grealish,LW,England,Manchester City
Carvajal,Daniel Carvajal Ramos,RB,Spain,Real Madrid CF
S. Savić,Stefan Savić,CB,Montenegro,Atlético de Madrid
E. Martínez,Emiliano Martínez,GK,Argentina,Aston Villa
R. Varane,Raphaël Varane,CB,France,Manchester United
W. Ben Yedder,Wissam Ben Yedder,CF,France,AS Monaco
L. Insigne,Lorenzo Insigne,CAM,Italy,Toronto FC
M. Hummels,Mats Hummels,CB,Germany,Borussia Dortmund
S. de Vrij,Stefan de Vrij,CB,Netherlands,Inter
J. Matip,Joel Matip,CB,Cameroon,Liverpool
K. Casteels,Koen Casteels,GK,Belgium,VfL Wolfsburg
Canales,Sergio Canales Madrazo,RM,Spain,Real Betis Balompié
Muniain,Iker Muniain Goñi,LM,Spain,Athletic Club de Bilbao
K. Trippier,Kieran Trippier,RB,England,Newcastle United
L. Bonucci,Leonardo Bonucci,CB,Italy,Juventus
Á. Di María,Ángel Di María,RW,Argentina,Juventus
E. Hazard,Eden Hazard,LW,Belgium,Real Madrid CF
I. Perišić,Ivan Perišić,LM,Croatia,Tottenham Hotspur
E. Džeko,Edin Džeko,ST,Bosnia and Herzegovina,Inter
G. Chiellini,Giorgio Chiellini,CB,Italy,Los Angeles FC
R. De Paul,Rodrigo Javier De Paul,CM,Argentina,Atlético de Madrid
J. Bellingham,Jude Bellingham,CM,England,Borussia Dortmund
F. Chiesa,Federico Chiesa,RM,Italy,Juventus
M. Diaby,Moussa Diaby,RM,France,Bayer 04 Leverkusen
J. Tartt,Jamie Tartt,CAM,England,AFC Richmond
Rafael Leão,Rafael da Conceição Leão,LW,Portugal,AC Milan
J. Koundé,Jules Koundé,CB,France,FC Barcelona
Y. Tielemans,Youri Tielemans,CM,Belgium,Leicester City
S. Tonali,Sandro Tonali,CDM,Italy,AC Milan
L. Díaz,Luis Díaz,RM,Colombia,Liverpool
Éder Militão,Éder Gabriel Militão,CB,Brazil,Real Madrid CF
F. Valverde,Federico Valverde,CM,Uruguay,Real Madrid CF
L. Sané,Leroy Sané,LM,Germany,FC Bayern München
R. James,Reece James,RWB,England,Chelsea
A. Bastoni,Alessandro Bastoni,CB,Italy,Inter
K. Havertz,Kai Havertz,CAM,Germany,Chelsea
João Félix,João Félix Sequeira,CAM,Portugal,Atlético de Madrid
A. Hakimi,Achraf Hakimi,RB,Morocco,Paris Saint-Germain
A. Davies,Alphonso Davies,LM,Canada,FC Bayern München
D. Rice,Declan Rice,CDM,England,West Ham United
M. Mount,Mason Mount,CAM,England,Chelsea
J. Sancho,Jadon Sancho,CAM,England,Manchester United
F. Tomori,Fikayo Tomori,CB,England,AC Milan
F. Kessié,Franck Yannick Kessié,CDM,Côte d'Ivoire,FC Barcelona
Oyarzabal,Mikel Oyarzabal Ugarte,LW,Spain,Real Sociedad
L. Pellegrini,Lorenzo Pellegrini,CAM,Italy,Roma
W. Ndidi,Wilfred Ndidi,CB,Nigeria,Leicester City
Marcos Llorente,Marcos Llorente Moreno,CAM,Spain,Atlético de Madrid
M. Ødegaard,Martin Ødegaard,CAM,Norway,Arsenal
D. Vlahović,Dušan Vlahović,ST,Serbia,Juventus
Diego Carlos,Diego Carlos Santos Silva,CB,Brazil,Aston Villa
Angeliño,José Ángel Esmoris Tasende,LM,Spain,TSG Hoffenheim
O. Dembélé,Ousmane Dembélé,LM,France,FC Barcelona
Marco Asensio,Marco Asensio Willemsen,RW,Spain,Real Madrid CF
Rúben Neves,Rúben Diogo da Silva Neves,CM,Portugal,Wolverhampton Wanderers
Merino,Mikel Merino Zazón,CM,Spain,Real Sociedad
K. Laimer,Konrad Laimer,CDM,Austria,RB Leipzig
P. Kimpembe,Presnel Kimpembe,CB,France,Paris Saint-Germain
Fabián,Fabián Ruiz Peña,CM,Spain,Paris Saint-Germain
F. Mendy,Ferland Mendy,LB,France,Real Madrid CF
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,RM,Brazil,Palmeiras
Gabriel Jesus,Gabriel Fernando de Jesus,ST,Brazil,Arsenal
Unai Simón,Unai Simón Mendibil,GK,Spain,Athletic Club de Bilbao
V. Osimhen,Victor Osimhen,ST,Nigeria,Napoli
P. Højbjerg,Pierre-Emile Højbjerg,CDM,Denmark,Tottenham Hotspur
C. Romero,Cristian Romero,CB,Argentina,Tottenham Hotspur
Raphinha,Raphael Dias Belloli,LM,Brazil,FC Barcelona
Carlos Soler,Carlos Soler Barragán,CM,Spain,Paris Saint-Germain
G. Kobel,Gregor Kobel,GK,Switzerland,Borussia Dortmund
Pau Torres,Pau Francisco Torres,CB,Spain,Villarreal CF
C. Gakpo,Cody Gakpo,RM,Netherlands,PSV
R. Araujo,Ronald Araujo,CB,Uruguay,FC Barcelona
R. Kent,Roy Kent,CDM,England,AFC Richmond
D. Zapata,Duván Zapata,ST,Colombia,Atalanta
Á. Correa,Ángel Correa,CF,Argentina,Atlético de Madrid
J. Giménez,José María Giménez,CB,Uruguay,Atlético de Madrid
T. Lemar,Thomas Lemar,CAM,France,Atlético de Madrid
Bremer,Gleison Bremer Silva Nascimento,CB,Brazil,Juventus
J. Cuadrado,Juan Cuadrado,RB,Colombia,Juventus
P. Zieliński,Piotr Zieliński,CAM,Poland,Napoli
Jesús Navas,Jesús Navas González,RB,Spain,Sevilla FC
Piqué,Gerard Piqué Bernabeu,CB,Spain,FC Barcelona
K. Schmeichel,Kasper Schmeichel,GK,Denmark,OGC Nice
J. Henderson,Jordan Henderson,CM,England,Liverpool
Fernando,Fernando Reges Mouta,CDM,Brazil,Sevilla FC
L. Hrádecký,Lukáš Hrádecký,GK,Finland,Bayer 04 Leverkusen
David Silva,David Josué Jiménez Silva,CAM,Spain,Real Sociedad
O. Baumann,Oliver Baumann,GK,Germany,TSG Hoffenheim
A. Griezmann,Antoine Griezmann,CAM,France,Atlético de Madrid
Luis Alberto,Luis Alberto Romero Alconchel,CM,Spain,Lazio
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,CF,Brazil,Liverpool
J. Stones,John Stones,CB,England,Manchester City
H. Ziyech,Hakim Ziyech,RW,Morocco,Chelsea
Koke,Jorge Resurrección,CM,Spain,Atlético de Madrid
Ricardo Pereira,Ricardo Barbosa Pereira,RB,Portugal,Leicester City
J. Maddison,James Maddison,CAM,England,Leicester City
G. Rulli,Gerónimo Rulli,GK,Argentina,Villarreal CF
A. Kramarić,Andrej Kramarić,CF,Croatia,TSG Hoffenheim
Rafa,Rafael A. Ferreira Silva,RW,Portugal,SL Benfica
G. Di Lorenzo,Giovanni Di Lorenzo,RB,Italy,Napoli
David Soria,David Soria Solís,GK,Spain,Getafe CF
M. Locatelli,Manuel Locatelli,CM,Italy,Juventus
R. Gosens,Robin Gosens,LWB,Germany,Inter
Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,ST,Portugal,Wolverhampton Wanderers
J. Tah,Jonathan Tah,CB,Germany,Bayer 04 Leverkusen
A. Christensen,Andreas Christensen,CB,Denmark,FC Barcelona
E. Can,Emre Can,CB,Germany,Borussia Dortmund
Anderson Talisca,Anderson Souza Conceição,CF,Brazil,Al Nassr
J. Brandt,Julian Brandt,CAM,Germany,Borussia Dortmund
T. Werner,Timo Werner,ST,Germany,RB Leipzig
Gayà,José Luís Gayà Peña,LB,Spain,Valencia CF
Otávio,Otávio Edmilson da Silva Monteiro,RM,Portugal,FC Porto
Grimaldo,Alejandro Grimaldo García,LB,Spain,SL Benfica
R. Guerreiro,Raphaël Guerreiro,CAM,Portugal,Borussia Dortmund
A. Onana,André Onana,GK,Cameroon,Inter
M. Ginter,Matthias Ginter,CB,Germany,Sport-Club Freiburg
S. Haller,Sébastien Haller,ST,Côte d'Ivoire,Borussia Dortmund
Aritz Elustondo,Aritz Elustondo,CB,Spain,Real Sociedad
T. Abraham,Tammy Abraham,ST,England,Roma
I. Bennacer,Ismaël Bennacer,CM,Algeria,AC Milan
Álex Remiro,Alejandro Remiro Gargallo,GK,Spain,Real Sociedad
D. Rojas,Dani Rojas,ST,Mexico,AFC Richmond
F. Wirtz,Florian Wirtz,CAM,Germany,Bayer 04 Leverkusen
Antony,Antony Matheus dos Santos,LM,Brazil,Manchester United
D. Núñez,Darwin Núñez,ST,Uruguay,Liverpool
N. Schlotterbeck,Nico Schlotterbeck,CB,Germany,Borussia Dortmund
B. Saka,Bukayo Saka,LM,England,Arsenal
Dani Olmo,Daniel Olmo Carvajal,CAM,Spain,RB Leipzig
A. Tchouaméni,Aurélien Tchouaméni,CDM,France,Real Madrid CF
Ferran Torres,Ferran Torres García,LW,Spain,FC Barcelona
N. Mazraoui,Noussair Mazraoui,RM,Morocco,FC Bayern München
A. Danjuma,Arnaut Danjuma,LM,Netherlands,Villarreal CF
A. Ramsdale,Aaron Ramsdale,GK,England,Arsenal
Lucas Paquetá,Lucas Tolentino Coelho de Lima,CAM,Brazil,West Ham United
D. Dumfries,Denzel Dumfries,RWB,Netherlands,Inter
R. Malinovskyi,Ruslan Malinovskyi,CF,Ukraine,Atalanta
R. Jiménez,Raúl Jiménez,ST,Mexico,Wolverhampton Wanderers
Josué Chiamulera,Josué Durval Chiamulera Vaz,CB,Brazil,Club Athletico Paranaense
Lucas Mantela,Lucas Luciano Mantela Patrício,GK,Brazil,Palmeiras
B. Chilwell,Ben Chilwell,LWB,England,Chelsea
André Silva,André Miguel Valente da Silva,ST,Portugal,RB Leipzig
C. Pulisic,Christian Pulisic,RM,United States,Chelsea
J. Pickford,Jordan Pickford,GK,England,Everton
Sergi Darder,Sergi Darder Moll,CM,Spain,RCD Espanyol de Barcelona
W. Orban,Willi Orban,CB,Hungary,RB Leipzig
I. Gueye,Idrissa Gueye,CDM,Senegal,Everton
Z. Ibrahimović,Zlatan Ibrahimović,ST,Sweden,AC Milan
Iñigo Martínez,Iñigo Martínez Berridi,CB,Spain,Athletic Club de Bilbao
Ł. Fabiański,Łukasz Fabiański,GK,Poland,West Ham United
I. Rakitić,Ivan Rakitić,CM,Croatia,Sevilla FC
D. Payet,Dimitri Payet,CAM,France,Olympique de Marseille
Rui Patrício,Rui Pedro dos Santos Patrício,GK,Portugal,Roma
O. Giroud,Olivier Giroud,ST,France,AC Milan
S. Kjær,Simon Kjær,CB,Denmark,AC Milan
Yuri Berchiche,Yuri Berchiche Izeta,LB,Spain,Athletic Club de Bilbao
T. Alderweireld,Toby Alderweireld,CB,Belgium,Royal Antwerp FC
M. Arnautović,Marko Arnautović,ST,Austria,Bologna
Azpilicueta,César Azpilicueta Tanco,CB,Spain,Chelsea
Coutinho,Philippe Coutinho Correia,CAM,Brazil,Aston Villa
C. Eriksen,Christian Eriksen,CM,Denmark,Manchester United
Raúl Albiol,Raúl Albiol Tortajada,CB,Spain,Villarreal CF
S. Coates,Sebastián Coates,CB,Uruguay,Sporting CP
L. Digne,Lucas Digne,LB,France,Aston Villa
Isco,Francisco Román Alarcón Suárez,CAM,Spain,Sevilla FC
G. Kondogbia,Geoffrey Kondogbia,CDM,Central African Republic,Atlético de Madrid
Gabriel Paulista,Gabriel Armando de Abreu,CB,Brazil,Valencia CF
Nacho Fernández,José Ignacio Fernández Iglesias,CB,Spain,Real Madrid CF
K. Volland,Kevin Volland,ST,Germany,AS Monaco
L. Spinazzola,Leonardo Spinazzola,LWB,Italy,Roma
S. Berghuis,Steven Berghuis,CAM,Netherlands,Ajax
A. Lopes,Anthony Lopes,GK,Portugal,Olympique Lyonnais
L. Muriel,Luis Muriel,ST,Colombia,Atalanta
W. Zaha,Wilfried Zaha,LW,Côte d'Ivoire,Crystal Palace
F. Acerbi,Francesco Acerbi,CB,Italy,Inter
E. Ndicka,Evan Ndicka,CB,France,Eintracht Frankfurt
T. Souček,Tomáš Souček,CB,Czech Republic,West Ham United
A. Barák,Antonín Barák,CAM,Czech Republic,Fiorentina
M. Terrier,Martin Terrier,ST,France,Stade Rennais FC
D. Raum,David Raum,LWB,Germany,RB Leipzig
Y. Bissouma,Yves Bissouma,CDM,Mali,Tottenham Hotspur
A. Areola,Alphonse Areola,GK,France,West Ham United
I. Sangaré,Ibrahim Sangaré,CDM,Côte d'Ivoire,PSV
J. Corona,Jesús Corona,RW,Mexico,Sevilla FC
T. Delaney,Thomas Delaney,CDM,Denmark,Sevilla FC
A. Lacazette,Alexandre Lacazette,ST,France,Olympique Lyonnais
N. Zaniolo,Nicolò Zaniolo,CAM,Italy,Roma
Neto,Norberto Murara Neto,GK,Brazil,AFC Bournemouth
I. Konaté,Ibrahima Konaté,CB,France,Liverpool
Pedro Porro,Pedro Antonio Porro Sauceda,RWB,Spain,Sporting CP
Cucurella,Marc Cucurella Saseta,LWB,Spain,Chelsea
L. Martínez,Lisandro Martínez,CDM,Argentina,Manchester United
Matheus Cunha,Matheus Santos Carneiro Da Cunha,CAM,Brazil,Atlético de Madrid
Pedro Gonçalves,Pedro António Pereira Gonçalves,CAM,Portugal,Sporting CP
M. Taremi,Mehdi Taremi,ST,Iran,FC Porto
Rodrygo,Rodrygo Silva de Goes,RM,Brazil,Real Madrid CF
E. Tapsoba,Edmond Tapsoba,CB,Burkina Faso,Bayer 04 Leverkusen
D. Kulusevski,Dejan Kulusevski,CAM,Sweden,Tottenham Hotspur
Bruno Guimarães,Bruno Guimarães Moura,CM,Brazil,Newcastle United
J. Gvardiol,Joško Gvardiol,CB,Croatia,RB Leipzig
J. Musiala,Jamal Musiala,CAM,Germany,FC Bayern München
S. Obisanya,Sam Obisanya,RM,Nigeria,AFC Richmond
Pablo Sarabia,Pablo Sarabia García,RW,Spain,Paris Saint-Germain
Marc Bartra,Marc Bartra Aregall,CB,Spain,Trabzonspor
Felipe,Felipe Augusto de Almeida Monteiro,CB,Brazil,Atlético de Madrid
H. Maguire,Harry Maguire,CB,England,Manchester United
Heberto Gaúcho,Juan Heberto Mestres de Mesquita,CB,Brazil,Clube Atlético Mineiro
Oswaldinato,Marvin Oswaldo Rangel Azevedo,ST,Brazil,Flamengo
Nailton Padrenda,Nailton Padrenda Mendes,CAM,Brazil,Clube Atlético Mineiro
Welington Dano,Welington Kauê Dano Nascimento,LB,Brazil,Clube Atlético Mineiro
Adriano Bisesi,Louri Adriano Bisesi Barbosa,ST,Brazil,RB Bragantino
Rosival Dourado,Rosival Jailson Dourado Santos,CDM,Brazil,Sport Club Corinthians Paulista
Adryan Zonta,Adryan Juliano Zonta Torres,LWB,Brazil,RB Bragantino
G. Mancini,Gianluca Mancini,CB,Italy,Roma
G. Rodríguez,Guido Rodríguez,CDM,Argentina,Real Betis Balompié
D. Upamecano,Dayot Upamecano,CB,France,FC Bayern München
Palhinha,João Maria Palhinha Gonçalves,CB,Portugal,Fulham
D. Zakaria,Denis Zakaria,CDM,Switzerland,Chelsea
M. Akanji,Manuel Akanji,CB,Switzerland,Manchester City
A. Zambo Anguissa,André-Franck Zambo Anguissa,CDM,Cameroon,Napoli
K. Tierney,Kieran Tierney,LWB,Scotland,Arsenal
M. Rashford,Marcus Rashford,ST,England,Manchester United
Richarlison,Richarlison de Andrade,ST,Brazil,Tottenham Hotspur
Gabriel,Gabriel dos S. Magalhães,CB,Brazil,Arsenal
H. Mkhitaryan,Henrikh Mkhitaryan,CAM,Armenia,Inter
N. Otamendi,Nicolás Otamendi,CB,Argentina,SL Benfica
M. Götze,Mario Götze,CAM,Germany,Eintracht Frankfurt
C. Smalling,Chris Smalling,CB,England,Roma
N. Pope,Nick Pope,GK,England,Newcastle United
Rafael Tolói,Rafael Tolói,CB,Italy,Atalanta
E. Cavani,Edinson Cavani,ST,Uruguay,Valencia CF
É. Banega,Éver Banega,CM,Argentina,Al Shabab
Adán,Antonio Adán Garrido,GK,Spain,Sporting CP
G. Bale,Gareth Bale,ST,Wales,Los Angeles FC
J. Vertonghen,Jan Vertonghen,CB,Belgium,RSC Anderlecht
C. Vela,Carlos Vela,RW,Mexico,Los Angeles FC
João Moutinho,João Filipe Moutinho,CM,Portugal,Wolverhampton Wanderers
Pepe,Képler Laveran Lima Ferreira,CB,Portugal,FC Porto
G. Lo Celso,Giovani Lo Celso,CAM,Argentina,Villarreal CF
Oscar,Oscar dos Santos Emboaba,CAM,Brazil,Shanghai Port FC
J. Gomez,Joe Gomez,CB,England,Liverpool
José Sá,José Pedro Malheiro de Sá,GK,Portugal,Wolverhampton Wanderers
Borja Iglesias,Borja Iglesias Quintás,ST,Spain,Real Betis Balompié
J. Ward-Prowse,James Ward-Prowse,CM,England,Southampton
L. Ocampos,Lucas Ocampos,RW,Argentina,Ajax
E. Višća,Edin Višća,RM,Bosnia and Herzegovina,Trabzonspor
T. Savanier,Téji Savanier,CAM,France,Montpellier Hérault SC
E. Forsberg,Emil Forsberg,CAM,Sweden,RB Leipzig
Lucas Vázquez,Lucas Vázquez Iglesias,RB,Spain,Real Madrid CF
G. Laborde,Gaëtan Laborde,ST,France,OGC Nice
J. Hofmann,Jonas Hofmann,CAM,Germany,Borussia Mönchengladbach
N. Tagliafico,Nicolás Tagliafico,LB,Argentina,Olympique Lyonnais
K. Demirbay,Kerem Demirbay,CM,Germany,Bayer 04 Leverkusen
O. Vlachodimos,Odisseas Vlachodimos,GK,Greece,SL Benfica
V. Grifo,Vincenzo Grifo,LM,Italy,Sport-Club Freiburg
R. Andrich,Robert Andrich,CDM,Germany,Bayer 04 Leverkusen
R. Le Normand,Robin Le Normand,CB,France,Real Sociedad
Ricardo Horta,Ricardo Jorge da Luz Horta,CF,Portugal,SC Braga
S. Lobotka,Stanislav Lobotka,CM,Slovakia,Napoli
K. Phillips,Kalvin Phillips,CDM,England,Manchester City
M. Uribe,Mateus Uribe,CM,Colombia,FC Porto
L. Torreira,Lucas Torreira,CDM,Uruguay,Galatasaray SK
M. Pašalić,Mario Pašalić,CAM,Croatia,Atalanta
N. Keïta,Naby Keïta,CAM,Guinea,Liverpool
C. Tolisso,Corentin Tolisso,CM,France,Olympique Lyonnais
H. Lozano,Hirving Lozano,RW,Mexico,Napoli
M. Politano,Matteo Politano,RW,Italy,Napoli
A. Saint-Maximin,Allan Saint-Maximin,CAM,France,Newcastle United
S. Fofana,Seko Fofana,CM,Côte d'Ivoire,Racing Club de Lens
Iñaki Williams,Iñaki Williams Arthuer,ST,Ghana,Athletic Club de Bilbao
J. Musso,Juan Musso,GK,Argentina,Atalanta
B. Bourigeaud,Benjamin Bourigeaud,RW,France,Stade Rennais FC
Y. En-Nesyri,Youssef En-Nesyri,ST,Morocco,Sevilla FC
Javi Galán,Javier Galán Gil,LB,Spain,RC Celta de Vigo
F. Neuhaus,Florian Neuhaus,CM,Germany,Borussia Mönchengladbach
H. Barnes,Harvey Barnes,CAM,England,Leicester City
A. Isak,Alexander Isak,ST,Sweden,Newcastle United
L. Sinisterra,Luis Sinisterra,LW,Colombia,Leeds United
X. Schlager,Xaver Schlager,CDM,Austria,RB Leipzig
D. Kamada,Daichi Kamada,CAM,Japan,Eintracht Frankfurt
M. Arambarri,Mauro Arambarri,CDM,Uruguay,Getafe CF
A. Lafont,Alban Lafont,GK,France,FC Nantes
Maikel Catarino,Maikel Renan Catarino Fagundes,RB,Brazil,Sport Club Corinthians Paulista
Renato Sanches,Renato Júnior Luz Sanches,CAM,Portugal,Paris Saint-Germain
Arthur,Arthur Henrique Ramos Oliveira Melo,CM,Brazil,Liverpool
Tony Abranjes,Tony Josimar Abranjes Meneses,CB,Brazil,Internacional
Laure Santeiro,Laureano Thomas Santeiro Marre,CAM,Brazil,Fluminense
Héniton Pires,Héniton Enaldo Pires Tramontino,GK,Brazil,Flamengo
M. Guendouzi,Mattéo Guendouzi,CDM,France,Olympique de Marseille
L. Bailey,Leon Bailey,CAM,Jamaica,Aston Villa
A. Wan-Bissaka,Aaron Wan-Bissaka,RB,England,Manchester United
D. Sow,Djibril Sow,CM,Switzerland,Eintracht Frankfurt
Mario Hermoso,Mario Hermoso Canseco,CB,Spain,Atlético de Madrid
D. Calabria,Davide Calabria,RB,Italy,AC Milan
E. Álvarez,Edson Álvarez,CB,Mexico,Ajax
T. Koopmeiners,Teun Koopmeiners,CM,Netherlands,Atalanta
B. Kamara,Boubacar Kamara,CDM,France,Aston Villa
V. Tsygankov,Viktor Tsygankov,CAM,Ukraine,Dynamo Kyiv
M. Dmitrović,Marko Dmitrović,GK,Serbia,Sevilla FC
I. McAdoo,Isaac McAdoo,CB,England,AFC Richmond
J. Frimpong,Jeremie Frimpong,RM,Netherlands,Bayer 04 Leverkusen
Nuno Mendes,Nuno Alexandre Tavares Mendes,LB,Portugal,Paris Saint-Germain
S. Botman,Sven Botman,CB,Netherlands,Newcastle United
J. Timber,Jurriën Timber,CB,Netherlands,Ajax
Renan Lodi,Renan Augusto Lodi dos Santos,LWB,Brazil,Nottingham Forest
Reguilón,Sergio Reguilón Rodríguez,LWB,Spain,Atlético de Madrid
V. Coufal,Vladimír Coufal,RB,Czech Republic,West Ham United
A. Rrahmani,Amir Rrahmani,CB,Kosovo,Napoli
